projectname,project_match_score,project_match_reason,sco,excel_row_number,versionnumber,with_party,started_on,ended_on,total_calendar_days,total_business_days,source_start_event,source_end_event,needs_lori_to_confirm,reasoning_because_this_was_complex,raw_status_text
RTMC Remediation Project,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-355 RTMC Professional Services Remediation,2,V1,ADSL,2021-09-28,2021-09-28,1,1,Sep 28/21 - first model sent to Province,Sep 28/21 - first model sent to Province,Version number was inferred as V1 from an unversioned Province submission line.,"The send/submission date is counted with the sender, per Sam.","Jan 4/22 - Signed
Dec 17/21 - V3 submitted to Province
Dec 15/21 - with Sian for approval
Dec 14/21 - with Cathy to review Province comments.
Nov 22/21 - submitted to Province
Nov 18/21 - with Serge for approval
Nov 9/21 - Province has questions re effort and SW
Oct 26/21 - pricing submitted to Province
Oct 12/21 - internal meeting to discuss Province feedback
Sept 28/21 - first model sent to Province; internally AS thinks Q4"
RTMC Remediation Project,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-355 RTMC Professional Services Remediation,2,V1,ADSL,2021-09-28,2021-10-11,14,10,Sep 28/21 - internally AS thinks Q4,Oct 12/21 - internal meeting to discuss Province feedback,Version number was inferred as V1 from an unversioned Province submission line. | Version number was inferred as V3 from an unversioned ADSL/internal event. | Version label normalized from V3 to V1 to avoid assigning the same version to both ADSL and CSBC.,"Version labels were normalized by ownership turn: after CSBC has a version, the next ADSL work is treated as the next version even if Lori shorthand repeats the received version label.","Jan 4/22 - Signed
Dec 17/21 - V3 submitted to Province
Dec 15/21 - with Sian for approval
Dec 14/21 - with Cathy to review Province comments.
Nov 22/21 - submitted to Province
Nov 18/21 - with Serge for approval
Nov 9/21 - Province has questions re effort and SW
Oct 26/21 - pricing submitted to Province
Oct 12/21 - internal meeting to discuss Province feedback
Sept 28/21 - first model sent to Province; internally AS thinks Q4"
RTMC Remediation Project,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-355 RTMC Professional Services Remediation,2,V2,CSBC,2021-09-29,2021-09-29,1,1,Sep 28/21 - first model sent to Province,Sep 28/21 - internally AS thinks Q4,Version number was inferred as V1 from an unversioned Province submission line. | Unversioned submission was treated as V1; confirm. | Inferred CSBC interval after Province submission because the next concrete event was ADSL/internal work on 2021-09-28. | Computed start 2021-09-29 after end 2021-09-27; this row needs human review.,"Province had the document after a submission, then ADSL/internal work resumed before the next submission/signing event.","Jan 4/22 - Signed
Dec 17/21 - V3 submitted to Province
Dec 15/21 - with Sian for approval
Dec 14/21 - with Cathy to review Province comments.
Nov 22/21 - submitted to Province
Nov 18/21 - with Serge for approval
Nov 9/21 - Province has questions re effort and SW
Oct 26/21 - pricing submitted to Province
Oct 12/21 - internal meeting to discuss Province feedback
Sept 28/21 - first model sent to Province; internally AS thinks Q4"
RTMC Remediation Project,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-355 RTMC Professional Services Remediation,2,V2,CSBC,2021-10-12,2021-10-25,14,10,Oct 12/21 - internal meeting to discuss Province feedback,Oct 26/21 - pricing submitted to Province,Version number was inferred as V1 from an unversioned Province submission line. | Version number was inferred as V3 from an unversioned ADSL/internal event. | Version number was inferred as V4 from an unversioned Province submission line. | Same version V4 appears with both ADSL and CSBC in this generated output; Lori should confirm because this is usually impossible. | Version label normalized from V4 to V2 to avoid assigning the same version to both ADSL and CSBC.,"Version labels were normalized by ownership turn: after CSBC has a version, the next ADSL work is treated as the next version even if Lori shorthand repeats the received version label.","Jan 4/22 - Signed
Dec 17/21 - V3 submitted to Province
Dec 15/21 - with Sian for approval
Dec 14/21 - with Cathy to review Province comments.
Nov 22/21 - submitted to Province
Nov 18/21 - with Serge for approval
Nov 9/21 - Province has questions re effort and SW
Oct 26/21 - pricing submitted to Province
Oct 12/21 - internal meeting to discuss Province feedback
Sept 28/21 - first model sent to Province; internally AS thinks Q4"
RTMC Remediation Project,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-355 RTMC Professional Services Remediation,2,V3,ADSL,2021-10-26,2021-10-26,1,1,Oct 26/21 - pricing submitted to Province,Oct 26/21 - pricing submitted to Province,Version number was inferred as V1 from an unversioned Province submission line. | Version number was inferred as V3 from an unversioned ADSL/internal event. | Version number was inferred as V4 from an unversioned Province submission line. | Same version V4 appears with both ADSL and CSBC in this generated output; Lori should confirm because this is usually impossible. | Version label normalized from V4 to V3 to avoid assigning the same version to both ADSL and CSBC.,"The send/submission date is counted with the sender, per Sam. Version labels were normalized by ownership turn: after CSBC has a version, the next ADSL work is treated as the next version even if Lori shorthand repeats the received version label.","Jan 4/22 - Signed
Dec 17/21 - V3 submitted to Province
Dec 15/21 - with Sian for approval
Dec 14/21 - with Cathy to review Province comments.
Nov 22/21 - submitted to Province
Nov 18/21 - with Serge for approval
Nov 9/21 - Province has questions re effort and SW
Oct 26/21 - pricing submitted to Province
Oct 12/21 - internal meeting to discuss Province feedback
Sept 28/21 - first model sent to Province; internally AS thinks Q4"
RTMC Remediation Project,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-355 RTMC Professional Services Remediation,2,V4,CSBC,2021-10-27,2021-11-09,14,10,Oct 26/21 - pricing submitted to Province,Nov 9/21 - Province has questions re effort and SW,Version number was inferred as V1 from an unversioned Province submission line. | Version number was inferred as V3 from an unversioned ADSL/internal event. | Version number was inferred as V4 from an unversioned Province submission line. | Unversioned submission was treated as V4; confirm. | Version label normalized from V6 to V4 to avoid assigning the same version to both ADSL and CSBC.,"Province/CSBC context before return/signing was counted as CSBC pen time. Version labels were normalized by ownership turn: after CSBC has a version, the next ADSL work is treated as the next version even if Lori shorthand repeats the received version label.","Jan 4/22 - Signed
Dec 17/21 - V3 submitted to Province
Dec 15/21 - with Sian for approval
Dec 14/21 - with Cathy to review Province comments.
Nov 22/21 - submitted to Province
Nov 18/21 - with Serge for approval
Nov 9/21 - Province has questions re effort and SW
Oct 26/21 - pricing submitted to Province
Oct 12/21 - internal meeting to discuss Province feedback
Sept 28/21 - first model sent to Province; internally AS thinks Q4"
RTMC Remediation Project,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-355 RTMC Professional Services Remediation,2,V5,ADSL,2021-11-18,2021-11-22,5,3,Nov 18/21 - with Serge for approval,Nov 22/21 - submitted to Province,Version number was inferred as V1 from an unversioned Province submission line. | Version number was inferred as V3 from an unversioned ADSL/internal event. | Version number was inferred as V4 from an unversioned Province submission line. | Version number was inferred as V7 from an unversioned ADSL/internal event. | Version number was inferred as V7 from an unversioned Province submission line. | Version label normalized from V7 to V5 to avoid assigning the same version to both ADSL and CSBC.,"The send/submission date is counted with the sender, per Sam. Version labels were normalized by ownership turn: after CSBC has a version, the next ADSL work is treated as the next version even if Lori shorthand repeats the received version label.","Jan 4/22 - Signed
Dec 17/21 - V3 submitted to Province
Dec 15/21 - with Sian for approval
Dec 14/21 - with Cathy to review Province comments.
Nov 22/21 - submitted to Province
Nov 18/21 - with Serge for approval
Nov 9/21 - Province has questions re effort and SW
Oct 26/21 - pricing submitted to Province
Oct 12/21 - internal meeting to discuss Province feedback
Sept 28/21 - first model sent to Province; internally AS thinks Q4"
RTMC Remediation Project,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-355 RTMC Professional Services Remediation,2,V6,CSBC,2021-11-23,2021-12-13,21,15,Nov 22/21 - submitted to Province,Dec 14/21 - with Cathy to review Province comments.,Version number was inferred as V1 from an unversioned Province submission line. | Version number was inferred as V3 from an unversioned ADSL/internal event. | Version number was inferred as V4 from an unversioned Province submission line. | Version number was inferred as V7 from an unversioned ADSL/internal event. | Version number was inferred as V7 from an unversioned Province submission line. | Unversioned submission was treated as V7; confirm. | Inferred CSBC interval after Province submission because the next concrete event was ADSL/internal work on 2021-12-14. | Version label normalized from V8 to V6 to avoid assigning the same version to both ADSL and CSBC.,"Province had the document after a submission, then ADSL/internal work resumed before the next submission/signing event. Version labels were normalized by ownership turn: after CSBC has a version, the next ADSL work is treated as the next version even if Lori shorthand repeats the received version label.","Jan 4/22 - Signed
Dec 17/21 - V3 submitted to Province
Dec 15/21 - with Sian for approval
Dec 14/21 - with Cathy to review Province comments.
Nov 22/21 - submitted to Province
Nov 18/21 - with Serge for approval
Nov 9/21 - Province has questions re effort and SW
Oct 26/21 - pricing submitted to Province
Oct 12/21 - internal meeting to discuss Province feedback
Sept 28/21 - first model sent to Province; internally AS thinks Q4"
RTMC Remediation Project,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-355 RTMC Professional Services Remediation,2,V7,ADSL,2021-12-14,2021-12-17,4,4,Dec 14/21 - with Cathy to review Province comments.,Dec 17/21 - V3 submitted to Province,Version number was inferred as V1 from an unversioned Province submission line. | Version number was inferred as V3 from an unversioned ADSL/internal event. | Version number was inferred as V4 from an unversioned Province submission line. | Version number was inferred as V7 from an unversioned ADSL/internal event. | Version number was inferred as V7 from an unversioned Province submission line. | Version number was inferred as V9 from an unversioned ADSL/internal event. | Version label normalized from V3 to V7 to avoid assigning the same version to both ADSL and CSBC.,"The send/submission date is counted with the sender, per Sam. Version labels were normalized by ownership turn: after CSBC has a version, the next ADSL work is treated as the next version even if Lori shorthand repeats the received version label.","Jan 4/22 - Signed
Dec 17/21 - V3 submitted to Province
Dec 15/21 - with Sian for approval
Dec 14/21 - with Cathy to review Province comments.
Nov 22/21 - submitted to Province
Nov 18/21 - with Serge for approval
Nov 9/21 - Province has questions re effort and SW
Oct 26/21 - pricing submitted to Province
Oct 12/21 - internal meeting to discuss Province feedback
Sept 28/21 - first model sent to Province; internally AS thinks Q4"
RTMC Remediation Project,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-355 RTMC Professional Services Remediation,2,V7,SIGNINGTIME,2021-12-18,2022-01-04,18,12,Dec 17/21 - V3 submitted to Province,Jan 4/22 - Signed,Version number was inferred as V1 from an unversioned Province submission line. | Version number was inferred as V3 from an unversioned ADSL/internal event. | Version number was inferred as V4 from an unversioned Province submission line. | Version number was inferred as V7 from an unversioned ADSL/internal event. | Version number was inferred as V7 from an unversioned Province submission line. | Version number was inferred as V9 from an unversioned ADSL/internal event. | Signing/final workflow inferred after a Province send/submission with no explicit next-version return. | SIGNINGTIME version label normalized from V3 to V7 so signing attaches to the last real editing version.,"The next meaningful event after the Province send was signing/final/completed, so no new CSBC editing version was invented.","Jan 4/22 - Signed
Dec 17/21 - V3 submitted to Province
Dec 15/21 - with Sian for approval
Dec 14/21 - with Cathy to review Province comments.
Nov 22/21 - submitted to Province
Nov 18/21 - with Serge for approval
Nov 9/21 - Province has questions re effort and SW
Oct 26/21 - pricing submitted to Province
Oct 12/21 - internal meeting to discuss Province feedback
Sept 28/21 - first model sent to Province; internally AS thinks Q4"
