rule_key,common,windows doors,air_source_heat_pump_electric,Air source heat pump - convert from wood,air_source_heat_pump_gas_propane,air_source_heat_pump_oil,dual_fuel_ducted_heat_pump,air_to_water_heat_pump,combined_space_water_heat_pump,heat_pump_water_heater,electrical_service_upgrade,insulation,ventilation,health_and_safety_remediation,status,source_quote,check_type
source_vintage_applies,,,,,,,,,,,,,,,,"Effective date: For invoices dated on or after April 1, 2026.",code
income_verification_supporting_documents_present,,,,,,,,,,,,,,,,Participant must reside in an income qualified household... Income verification documentation must be submitted for each member of the household that is over the age of 18...,genai
not keyed yet,,,,,,,,,,,,,,,,Home must be a year-round primary residence in British Columbia that is at least 12 months old... The following types of homes are not eligible...,code
utility_account_supporting_document_present,,,,,,,,,,,,,,,,The home must be connected to a residential account with one of the following utilities... The home must be primarily heated by one of the following...,genai
not keyed yet,,,,,,,,,,,,,,,,The property must have a total assessed value at or under the referenced BC Assessment listing...,code
eligibility_code_valid_for_invoice_date,,,,,,,,,,,,,,,,Participants must pre-register and confirm eligibility prior to installing upgrades. Eligibility codes... are valid for upgrades completed within 6 months of the participants approval date.,code
contractor_identity_matches_record,,,,,,,,,,,,,,,,All upgrades must be installed by a Registered Contractor... Registered Contractors must comply with the CleanBC Better Homes Energy Savings Program Registered Contractor Terms and Conditions.,genai
not keyed yet,,,,,,,,,,,,,,,,Participants may only receive one rebate payment... under any of the following programs...,code
overall_rebate_not_over_invoice_total,,,,,,,,,,,,,,,,Rebates cannot exceed the cost on the invoice and the paid cost of the upgrade. Upgrade costs covered by warranty or home insurance are not eligible for rebates.,genai
homeowner_identity_matches_eligibility_record,,,,,,,,,,,,,,,,"Utility accounts must be in the name of the resident and/or homeowner... If you currently rent your home, the registered property owner must complete the Landlord Consent Form... Landlords and/or property owners are only eligible... with two eligible homes...",code
income_level_1_or_2_required,X,X,,,,,,,,,,,,,,Insulation upgrades are only eligible for participants who are registered and approved as Income Level 1 or 2...,code
ins_material_and_location_present,,,,,,,,,,,,,,,,"New insulation must be batt, loose fill, board or spray foam... installed in an eligible location... installed between a conditioned and unconditioned space... result in an increased R-value.",genai
ins_r_value_and_area_present,,,,,,,,,,,,,,,,Rebates are calculated based on R-value of the new insulation added... If pre-existing insulation was removed... the rebate is calculated on the difference in R-value...,genai
ins_health_safety_issue_flag,,,,,,,,,,,,,,,,"Pest infestations and rodent tunnels... must be resolved prior to installation... Any existing health and safety concerns (vermiculite, asbestos, mould)... must be resolved prior to installation...",genai
not keyed yet,,,,,,,,,,,,,,,,"All upgrades must be purchased, supplied and installed by a Registered Contractor who is approved to install insulation...",code
ins_supporting_document_reference_present,,,,,,,,,,,,,,,,Before and after photos of the insulation area... Floor plan drawing... may be requested. Invoice... must show the itemized CleanBC rebate and deduct the CleanBC rebate... The rebate application... must be submitted... within six (6) months of the invoice date.,genai
income_level_1_or_2_required,,,,,,,,,,,,,,,,Windows and doors upgrades are only eligible for participants who are registered and approved as Income Level 1 or 2...,code
wd_vancouver_municipal_boundary_review,,,,,,,,,,,,,,,,Homes within the City of Vancouver municipal boundary are not eligible...,genai
