projectname,project_match_score,project_match_reason,sco,excel_row_number,versionnumber,with_party,started_on,ended_on,total_calendar_days,total_business_days,source_start_event,source_end_event,needs_lori_to_confirm,raw_status_text
3PG Refresh  (Addition),100,token overlap 2/2; hint matched: 3pg; hint matched: refresh,SCO-PROV-757 Amd SCO-712 3PG Refresh,135,V1,ADSL,2025-08-05,2025-08-06,2,2,Aug 5/25 - with Cathy,Aug 6/25 - V1 sent to Province,,"Aug 18/25 - Adobe Sign
Aug 6/25 - V1 sent to Province
Aug 5/25 - with Cathy"
3PG Refresh  (Addition),100,token overlap 2/2; hint matched: 3pg; hint matched: refresh,SCO-PROV-757 Amd SCO-712 3PG Refresh,135,V1,SIGNINGTIME,2025-08-18,2025-08-18,1,1,Aug 18/25 - Adobe Sign,Aug 18/25 - Adobe Sign,,"Aug 18/25 - Adobe Sign
Aug 6/25 - V1 sent to Province
Aug 5/25 - with Cathy"
3PG Refresh  (Addition),100,token overlap 2/2; hint matched: 3pg; hint matched: refresh,SCO-PROV-768 Amd SCO-712 3PG Refresh,149,V1,ADSL,2025-11-24,2025-11-25,2,2,Nov 24/25 - with Erwin / Cathy,Nov 25/25 - V1 sent to Province,,"Dec 9/25 - Adobe Sign
Nov 25/25 - V1 sent to Province
Nov 24/25 - with Erwin / Cathy"
3PG Refresh  (Addition),100,token overlap 2/2; hint matched: 3pg; hint matched: refresh,SCO-PROV-768 Amd SCO-712 3PG Refresh,149,V1,SIGNINGTIME,2025-12-09,2025-12-09,1,1,Dec 9/25 - Adobe Sign,Dec 9/25 - Adobe Sign,,"Dec 9/25 - Adobe Sign
Nov 25/25 - V1 sent to Province
Nov 24/25 - with Erwin / Cathy"
3PG Refresh  (Addition),100,token overlap 2/2; hint matched: 3pg; hint matched: refresh,SCO-PROV-775 Amend 712 3PG Refresh,156,V1,ADSL,2026-01-16,2026-01-30,15,11,Jan 16/26 - with Dor / Cathy,Jan 30/26 - V2 sent to ESIT-AS,,"Feb 3/26 - Completed
Feb 2/26 - Adobe Sign
Jan 30/26 - V2 sent to ESIT-AS
Jan 21/26 - V1 sent to the Province
Jan 21/26 - with Sian
Jan 16/26 - with Dor / Cathy"
3PG Refresh  (Addition),100,token overlap 2/2; hint matched: 3pg; hint matched: refresh,SCO-PROV-775 Amend 712 3PG Refresh,156,V1,SIGNINGTIME,2026-02-02,2026-02-03,2,2,Feb 2/26 - Adobe Sign,Feb 3/26 - Completed,,"Feb 3/26 - Completed
Feb 2/26 - Adobe Sign
Jan 30/26 - V2 sent to ESIT-AS
Jan 21/26 - V1 sent to the Province
Jan 21/26 - with Sian
Jan 16/26 - with Dor / Cathy"
AV Defender for Linux,67,token overlap 2/3,SCO-PROV-809 Defender AV for Windows,184,V1,ADSL,2026-04-10,2026-04-17,8,6,Apr 10/26 - with Tyler,Apr 17/26 - V1 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""AV Defender for Linux"" -> ""SCO-PROV-809 Defender AV for Windows"" (token overlap 2/3, score 67).","May 6/26 - V4 rec'd; Adobe Sign
Apr 23/26 - V3 sent to Province
Apr 21/26 - V2 rec'd; V3 with Cathy
Apr 17/26 - V1 sent to Province
Apr 16/26 - with Sian
Apr 10/26 - with Tyler"
AV Defender for Linux,67,token overlap 2/3,SCO-PROV-809 Defender AV for Windows,184,V2,CSBC,2026-04-18,2026-04-21,4,2,Next day after: Apr 17/26 - V1 sent to Province,Apr 21/26 - V2 rec'd; V3 with Cathy,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""AV Defender for Linux"" -> ""SCO-PROV-809 Defender AV for Windows"" (token overlap 2/3, score 67).","May 6/26 - V4 rec'd; Adobe Sign
Apr 23/26 - V3 sent to Province
Apr 21/26 - V2 rec'd; V3 with Cathy
Apr 17/26 - V1 sent to Province
Apr 16/26 - with Sian
Apr 10/26 - with Tyler"
AV Defender for Linux,67,token overlap 2/3,SCO-PROV-809 Defender AV for Windows,184,V3,ADSL,2026-04-22,2026-04-23,2,2,Next day after: Apr 21/26 - V2 rec'd; V3 with Cathy,Apr 23/26 - V3 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""AV Defender for Linux"" -> ""SCO-PROV-809 Defender AV for Windows"" (token overlap 2/3, score 67).","May 6/26 - V4 rec'd; Adobe Sign
Apr 23/26 - V3 sent to Province
Apr 21/26 - V2 rec'd; V3 with Cathy
Apr 17/26 - V1 sent to Province
Apr 16/26 - with Sian
Apr 10/26 - with Tyler"
AV Defender for Linux,67,token overlap 2/3,SCO-PROV-809 Defender AV for Windows,184,V3,SIGNINGTIME,2026-05-06,2026-05-06,1,1,May 6/26 - V4 rec'd; Adobe Sign,May 6/26 - V4 rec'd; Adobe Sign,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""AV Defender for Linux"" -> ""SCO-PROV-809 Defender AV for Windows"" (token overlap 2/3, score 67).","May 6/26 - V4 rec'd; Adobe Sign
Apr 23/26 - V3 sent to Province
Apr 21/26 - V2 rec'd; V3 with Cathy
Apr 17/26 - V1 sent to Province
Apr 16/26 - with Sian
Apr 10/26 - with Tyler"
CCCS Sensors,88,token overlap 1/2; hint matched: sensors; hint matched: ips sensors,FOR APPROVAL: SCO-PROV-CAP-004a IPS Sensors(20230322)V1DRAFT,3,V1,ADSL,2023-03-22,2023-03-23,2,2,Mar 22/23 - With Lori for approval,Mar 23/23 - V1 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""CCCS Sensors"" -> ""FOR APPROVAL: SCO-PROV-CAP-004a IPS Sensors(20230322)V1DRAFT"" (token overlap 1/2; hint matched: sensors; hint matched: ips sensors, score 88).","Mar 23/23 - Completed
Mar 23/23 - V1 sent to Province
Mar 22/23 - With Sian
Mar 22/23 - With Lori for approval"
CCCS Sensors,88,token overlap 1/2; hint matched: sensors; hint matched: ips sensors,FOR APPROVAL: SCO-PROV-CAP-004a IPS Sensors(20230322)V1DRAFT,3,V1,SIGNINGTIME,2023-03-23,2023-03-23,1,1,Mar 23/23 - Completed,Mar 23/23 - Completed,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""CCCS Sensors"" -> ""FOR APPROVAL: SCO-PROV-CAP-004a IPS Sensors(20230322)V1DRAFT"" (token overlap 1/2; hint matched: sensors; hint matched: ips sensors, score 88).","Mar 23/23 - Completed
Mar 23/23 - V1 sent to Province
Mar 22/23 - With Sian
Mar 22/23 - With Lori for approval"
CCCS Sensors,88,token overlap 1/2; hint matched: sensors; hint matched: ips sensors,SCO-PROV-CAP-004 IPS Sensors,189,V1,ADSL,2022-12-12,2023-01-16,36,26,Dec 12/22 - With Sian to send to Province,Jan 16/23 - Approved by Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""CCCS Sensors"" -> ""SCO-PROV-CAP-004 IPS Sensors"" (token overlap 1/2; hint matched: sensors; hint matched: ips sensors, score 88).","Jan 16/23 - Approved by Province
Jan 5/23 - Waiting for info from vendor, part with Cathy
Jan 4/23 - New quote required
Dec 12/22 - With Sian to send to Province"
CMDB Optimization (Discovery),74,token overlap 2/3; hint matched: cmdb,SCO-PROV-747 CMDB Optimization,125,V1,ADSL,2025-07-14,2025-07-15,2,2,July 14/25 - with Rian / Cathy,July 15/25 - V1 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""CMDB Optimization (Discovery)"" -> ""SCO-PROV-747 CMDB Optimization"" (token overlap 2/3; hint matched: cmdb, score 74).","Oct 2/25 - Adobe Sign
Sept 24/25 - Michelle C confirmed 4 servers needed instead of 5; Province still reviewing
Sept 19/25 - Erwin, Rian and Michelle reviewed/OK'd updated SCO: V3 and 3.1 sent to Province 
Sept 16/25 - updated SCO; with Rian/Michelle
Aug 18/25 - V2.1 rec'd; with Rian and Michelle C
July 15/25 - V1 sent to Province
July 14/25 - with Rian / Cathy
Reserved for early start"
