projectname,project_match_score,project_match_reason,sco,excel_row_number,versionnumber,with_party,started_on,ended_on,total_calendar_days,total_business_days,source_start_event,source_end_event,needs_lori_to_confirm,reasoning_because_this_was_complex,raw_status_text
RTMC Remediation Project,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-355 RTMC Professional Services Remediation,2,V1,ADSL,2021-09-28,2021-11-22,56,40,Sept 28/21 - first model sent to Province; internally AS thinks Q4,Nov 22/21 - submitted to Province,Source includes non-version Province/submission events; confirm whether those should count as SCO pen time. | Version number was inferred as V1 from an unversioned Province submission line.,"The source said submitted/sent to Province without a version number, so V1 was inferred from the current version sequence.","Jan 4/22 - Signed
Dec 17/21 - V3 submitted to Province
Dec 15/21 - with Sian for approval
Dec 14/21 - with Cathy to review Province comments.
Nov 22/21 - submitted to Province
Nov 18/21 - with Serge for approval
Nov 9/21 - Province has questions re effort and SW
Oct 26/21 - pricing submitted to Province
Oct 12/21 - internal meeting to discuss Province feedback
Sept 28/21 - first model sent to Province; internally AS thinks Q4"
RTMC Remediation Project,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-355 RTMC Professional Services Remediation,2,V2,CSBC,2021-11-23,2021-12-17,25,19,Nov 22/21 - submitted to Province,Dec 17/21 - V3 submitted to Province,Source includes non-version Province/submission events; confirm whether those should count as SCO pen time. | V3 was sent while prior inferred V2 CSBC interval was still open; confirm missing return sequence.,,"Jan 4/22 - Signed
Dec 17/21 - V3 submitted to Province
Dec 15/21 - with Sian for approval
Dec 14/21 - with Cathy to review Province comments.
Nov 22/21 - submitted to Province
Nov 18/21 - with Serge for approval
Nov 9/21 - Province has questions re effort and SW
Oct 26/21 - pricing submitted to Province
Oct 12/21 - internal meeting to discuss Province feedback
Sept 28/21 - first model sent to Province; internally AS thinks Q4"
RTMC Remediation Project,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-355 RTMC Professional Services Remediation,2,V3,ADSL,2021-12-17,2021-12-17,1,1,Dec 17/21 - V3 submitted to Province,Dec 17/21 - V3 submitted to Province,Source includes non-version Province/submission events; confirm whether those should count as SCO pen time. | V3 was sent while prior inferred V2 CSBC interval was still open; confirm missing return sequence.,,"Jan 4/22 - Signed
Dec 17/21 - V3 submitted to Province
Dec 15/21 - with Sian for approval
Dec 14/21 - with Cathy to review Province comments.
Nov 22/21 - submitted to Province
Nov 18/21 - with Serge for approval
Nov 9/21 - Province has questions re effort and SW
Oct 26/21 - pricing submitted to Province
Oct 12/21 - internal meeting to discuss Province feedback
Sept 28/21 - first model sent to Province; internally AS thinks Q4"
RTMC Remediation Project,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-355 RTMC Professional Services Remediation,2,V3,SIGNINGTIME,2021-12-18,2021-12-18,1,0,Dec 17/21 - V3 submitted to Province,Dec 17/21 - V3 submitted to Province,Source includes non-version Province/submission events; confirm whether those should count as SCO pen time.,"V3 was sent out and the next meaningful event was signing/final, so no V4 CSBC editing row was created.","Jan 4/22 - Signed
Dec 17/21 - V3 submitted to Province
Dec 15/21 - with Sian for approval
Dec 14/21 - with Cathy to review Province comments.
Nov 22/21 - submitted to Province
Nov 18/21 - with Serge for approval
Nov 9/21 - Province has questions re effort and SW
Oct 26/21 - pricing submitted to Province
Oct 12/21 - internal meeting to discuss Province feedback
Sept 28/21 - first model sent to Province; internally AS thinks Q4"
Public Cloud MCS OpenShift Project (ROSA),100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-383 Public Cloud MCS OpenShift,3,V1,ADSL,2022-01-10,2022-02-10,32,24,Jan 10/22 - SCO drafted; Jen to provide SOW,Feb 10/22 - submitted to Province,Version number was inferred as V1 from an unversioned Province submission line.,"The source said submitted/sent to Province without a version number, so V1 was inferred from the current version sequence.","Mar 25/22 - Signed
Mar 24/22 - with Province for signing
Mar 22/22 - with Serge for signing
Mar 7/22 - submitted to Province
Mar 3/22 - with Serge for approval
Mar 2/22 - with Jen for review/updating
Feb 10/22 - submitted to Province
Feb 3/22 - with Sian for approval
Feb 2/22 - with Cathy/Jen for review
Jan 10/22 - SCO drafted; Jen to provide SOW"
Public Cloud MCS OpenShift Project (ROSA),100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-383 Public Cloud MCS OpenShift,3,V2,CSBC,2022-02-11,2022-03-07,25,17,Feb 10/22 - submitted to Province,Mar 7/22 - submitted to Province,Version number was inferred as V1 from an unversioned Province submission line. | V1 was sent while prior inferred V2 CSBC interval was still open; confirm missing return sequence.,"The source said submitted/sent to Province without a version number, so V1 was inferred from the current version sequence.","Mar 25/22 - Signed
Mar 24/22 - with Province for signing
Mar 22/22 - with Serge for signing
Mar 7/22 - submitted to Province
Mar 3/22 - with Serge for approval
Mar 2/22 - with Jen for review/updating
Feb 10/22 - submitted to Province
Feb 3/22 - with Sian for approval
Feb 2/22 - with Cathy/Jen for review
Jan 10/22 - SCO drafted; Jen to provide SOW"
Public Cloud MCS OpenShift Project (ROSA),100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-383 Public Cloud MCS OpenShift,3,V1,ADSL,2022-03-07,2022-03-07,1,1,Mar 7/22 - submitted to Province,Mar 7/22 - submitted to Province,Version number was inferred as V1 from an unversioned Province submission line. | V1 was sent while prior inferred V2 CSBC interval was still open; confirm missing return sequence.,"The source said submitted/sent to Province without a version number, so V1 was inferred from the current version sequence.","Mar 25/22 - Signed
Mar 24/22 - with Province for signing
Mar 22/22 - with Serge for signing
Mar 7/22 - submitted to Province
Mar 3/22 - with Serge for approval
Mar 2/22 - with Jen for review/updating
Feb 10/22 - submitted to Province
Feb 3/22 - with Sian for approval
Feb 2/22 - with Cathy/Jen for review
Jan 10/22 - SCO drafted; Jen to provide SOW"
Public Cloud MCS OpenShift Project (ROSA),100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-383 Public Cloud MCS OpenShift,3,V1,SIGNINGTIME,2022-03-08,2022-03-25,18,14,Mar 7/22 - submitted to Province,Mar 25/22 - Signed,,"V1 was sent out and the next meaningful event was signing/final, so no V2 CSBC editing row was created.","Mar 25/22 - Signed
Mar 24/22 - with Province for signing
Mar 22/22 - with Serge for signing
Mar 7/22 - submitted to Province
Mar 3/22 - with Serge for approval
Mar 2/22 - with Jen for review/updating
Feb 10/22 - submitted to Province
Feb 3/22 - with Sian for approval
Feb 2/22 - with Cathy/Jen for review
Jan 10/22 - SCO drafted; Jen to provide SOW"
MS Defender Proof of Concept,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-416 Antivirus Product Evaluation,4,V1,ADSL,2022-04-06,2022-04-20,15,11,Apr 6/22 - with Rian for review,Apr 20/22 - submitted to Province,Version number was inferred as V1 from an unversioned Province submission line.,"The source said submitted/sent to Province without a version number, so V1 was inferred from the current version sequence.","June 29/22 - Signed
June 23/22 - V4 sent to Province
June 20/22 - V3 received
June 2/22 - V2 submitted to Province
June 1/22 - V2 with Rian and Cathy for review
Apr 20/22 - submitted to Province
Apr 13/22 - with Serge for approval
Apr 12/22 - Rian reviewing with Lori Collins
Apr 6/22 - with Rian for review"
MS Defender Proof of Concept,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-416 Antivirus Product Evaluation,4,V2,ADSL,2022-06-02,2022-06-02,1,1,June 2/22 - V2 submitted to Province,June 2/22 - V2 submitted to Province,,V2 was sent while V2 was the inferred pending receiver version; this was treated as ADSL same-version turnaround rather than creating both-party ownership.,"June 29/22 - Signed
June 23/22 - V4 sent to Province
June 20/22 - V3 received
June 2/22 - V2 submitted to Province
June 1/22 - V2 with Rian and Cathy for review
Apr 20/22 - submitted to Province
Apr 13/22 - with Serge for approval
Apr 12/22 - Rian reviewing with Lori Collins
Apr 6/22 - with Rian for review"
